City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,15.29,100,40,0.0,CA,1690788647
1,adamstown,-25.066,-130.1015,18.92,61,63,10.25,PN,1690788725
2,utrik,11.2278,169.8474,28.37,80,80,8.54,MH,1690788726
3,lillebonne,49.5203,0.5362,18.6,85,100,6.99,FR,1690788672
4,ust-nera,64.5667,143.2,7.97,95,100,3.26,RU,1690788588
5,nyurba,63.2842,118.3319,22.21,25,3,4.29,RU,1690788726
6,olonkinbyen,70.9221,-8.7187,6.25,90,100,1.32,SJ,1690788560
7,sumbe,-11.2061,13.8437,21.15,81,76,0.9,AO,1690788727
8,columbus,39.9612,-82.9988,19.62,93,100,1.54,US,1690788650
9,puerto ayora,-0.7393,-90.3518,24.19,96,85,1.34,EC,1690788727
10,hithadhoo,-0.6,73.0833,28.1,71,95,0.9,MV,1690788727
11,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,82,75,4.0,RU,1690788728
12,georgetown,5.4112,100.3354,30.96,70,20,3.6,MY,1690788728
13,iqaluit,63.7506,-68.5145,3.85,100,100,1.03,CA,1690788728
14,college,64.8569,-147.8028,18.97,80,75,1.54,US,1690788562
15,vorgashor,67.5833,63.95,24.28,47,85,2.43,RU,1690788602
16,badger,64.8,-147.5333,18.93,83,20,1.54,US,1690788729
17,qamdo,31.1667,97.2333,17.95,41,100,2.02,CN,1690788729
18,port-aux-francais,-49.35,70.2167,2.28,61,23,7.25,TF,1690788729
19,qusmuryn,52.4503,64.6311,29.34,32,35,2.59,KZ,1690788729
20,ribeira grande,38.5167,-28.7,24.22,94,40,3.09,PT,1690788730
21,papatowai,-46.5619,169.4708,7.52,94,75,2.27,NZ,1690788730
22,kruisfontein,-34.0033,24.7314,12.71,77,99,11.05,ZA,1690788730
23,port elizabeth,-33.918,25.5701,13.94,66,20,10.8,ZA,1690788652
24,pingliang,35.5392,106.6861,26.36,64,100,2.07,CN,1690788730
25,warman,52.3168,-106.5679,19.95,56,40,6.17,CA,1690788731
26,laguna,38.421,-121.4238,24.62,43,0,3.6,US,1690788731
27,jamestown,42.097,-79.2353,18.77,87,0,3.6,US,1690788535
28,mbarara,-0.608,30.65,24.45,43,87,2.23,UG,1690788731
29,albany,42.6001,-73.9662,15.45,87,80,0.45,US,1690788637
30,bredasdorp,-34.5322,20.0403,10.36,79,98,6.59,ZA,1690788592
